"sum","Name","Date","Jahr"
3208,"Ost-Süd",2020-05-06,2020
3546,"Ost-Süd",2020-05-07,2020
3650,"Ost-Süd",2020-05-08,2020
3691,"Ost-Süd",2020-05-09,2020
3074,"Ost-Süd",2020-05-10,2020
2303,"Ost-Süd",2020-05-11,2020
3152,"Ost-Süd",2020-05-12,2020
2656,"Ost-Süd",2020-05-13,2020
2844,"Ost-Süd",2020-05-14,2020
3378,"Ost-Süd",2020-05-15,2020
4139,"Ost-Süd",2020-05-16,2020
3635,"Ost-Süd",2020-05-17,2020
3764,"Ost-Süd",2020-05-18,2020
4109,"Ost-Süd",2020-05-19,2020
4281,"Ost-Süd",2020-05-20,2020
3592,"Ost-Süd",2020-05-21,2020
3741,"Ost-Süd",2020-05-22,2020
1977,"Ost-Süd",2020-05-23,2020
3161,"Ost-Süd",2020-05-24,2020
3735,"Ost-Süd",2020-05-25,2020
4143,"Ost-Süd",2020-05-26,2020
4471,"Ost-Süd",2020-05-27,2020
4068,"Ost-Süd",2020-05-28,2020
4497,"Ost-Süd",2020-05-29,2020
3941,"Ost-Süd",2020-05-30,2020
3283,"Ost-Süd",2020-05-31,2020
3712,"Ost-Süd",2020-06-01,2020
4274,"Ost-Süd",2020-06-02,2020
4284,"Ost-Süd",2020-06-03,2020
2641,"Ost-Süd",2020-06-04,2020
3393,"Ost-Süd",2020-06-05,2020
3259,"Ost-Süd",2020-06-06,2020
2301,"Ost-Süd",2020-06-07,2020
3654,"Ost-Süd",2020-06-08,2020
3375,"Ost-Süd",2020-06-09,2020
3169,"Ost-Süd",2020-06-10,2020
4114,"Ost-Süd",2020-06-11,2020
4962,"Ost-Süd",2020-06-12,2020
3544,"Ost-Süd",2020-06-13,2020
2431,"Ost-Süd",2020-06-14,2020
3628,"Ost-Süd",2020-06-15,2020
3897,"Ost-Süd",2020-06-16,2020
3278,"Ost-Süd",2020-06-17,2020
3787,"Ost-Süd",2020-06-18,2020
3628,"Ost-Süd",2020-06-19,2020
4185,"Ost-Süd",2020-06-20,2020
3518,"Ost-Süd",2020-06-21,2020
3933,"Ost-Süd",2020-06-22,2020
4658,"Ost-Süd",2020-06-23,2020
4894,"Ost-Süd",2020-06-24,2020
4567,"Ost-Süd",2020-06-25,2020
3969,"Ost-Süd",2020-06-26,2020
4097,"Ost-Süd",2020-06-27,2020
3300,"Ost-Süd",2020-06-28,2020
3565,"Ost-Süd",2020-06-29,2020
4602,"Ost-Süd",2020-06-30,2020
4521,"Ost-Süd",2020-07-01,2020
4001,"Ost-Süd",2020-07-02,2020
4144,"Ost-Süd",2020-07-03,2020
4116,"Ost-Süd",2020-07-04,2020
3372,"Ost-Süd",2020-07-05,2020
4581,"Ost-Süd",2020-07-06,2020
4753,"Ost-Süd",2020-07-07,2020
4759,"Ost-Süd",2020-07-08,2020
4424,"Ost-Süd",2020-07-09,2020
4189,"Ost-Süd",2020-07-10,2020
3438,"Ost-Süd",2020-07-11,2020
3555,"Ost-Süd",2020-07-12,2020
3918,"Ost-Süd",2020-07-13,2020
4322,"Ost-Süd",2020-07-14,2020
3418,"Ost-Süd",2020-07-15,2020
3320,"Ost-Süd",2020-07-16,2020
3462,"Ost-Süd",2020-07-17,2020
3813,"Ost-Süd",2020-07-18,2020
3083,"Ost-Süd",2020-07-19,2020
3446,"Ost-Süd",2020-07-20,2020
3646,"Ost-Süd",2020-07-21,2020
3728,"Ost-Süd",2020-07-22,2020
3935,"Ost-Süd",2020-07-23,2020
3292,"Ost-Süd",2020-07-24,2020
3401,"Ost-Süd",2020-07-25,2020
2943,"Ost-Süd",2020-07-26,2020
3384,"Ost-Süd",2020-07-27,2020
3411,"Ost-Süd",2020-07-28,2020
3708,"Ost-Süd",2020-07-29,2020
3601,"Ost-Süd",2020-07-30,2020
3469,"Ost-Süd",2020-07-31,2020
2800,"Ost-Süd",2020-08-01,2020
2377,"Ost-Süd",2020-08-02,2020
2398,"Ost-Süd",2020-08-03,2020
2809,"Ost-Süd",2020-08-04,2020
3926,"Ost-Süd",2020-08-05,2020
3940,"Ost-Süd",2020-08-06,2020
3864,"Ost-Süd",2020-08-07,2020
3579,"Ost-Süd",2020-08-08,2020
3022,"Ost-Süd",2020-08-09,2020
3732,"Ost-Süd",2020-08-10,2020
4119,"Ost-Süd",2020-08-11,2020
4051,"Ost-Süd",2020-08-12,2020
4218,"Ost-Süd",2020-08-13,2020
4269,"Ost-Süd",2020-08-14,2020
3957,"Ost-Süd",2020-08-15,2020
3499,"Ost-Süd",2020-08-16,2020
3423,"Ost-Süd",2020-08-17,2020
4242,"Ost-Süd",2020-08-18,2020
4412,"Ost-Süd",2020-08-19,2020
4499,"Ost-Süd",2020-08-20,2020
4381,"Ost-Süd",2020-08-21,2020
3419,"Ost-Süd",2020-08-22,2020
3488,"Ost-Süd",2020-08-23,2020
4030,"Ost-Süd",2020-08-24,2020
4358,"Ost-Süd",2020-08-25,2020
4639,"Ost-Süd",2020-08-26,2020
4574,"Ost-Süd",2020-08-27,2020
3533,"Ost-Süd",2020-08-28,2020
2352,"Ost-Süd",2020-08-29,2020
1396,"Ost-Süd",2020-08-30,2020
3620,"Ost-Süd",2020-08-31,2020
3966,"Ost-Süd",2020-09-01,2020
4346,"Ost-Süd",2020-09-02,2020
4502,"Ost-Süd",2020-09-03,2020
4442,"Ost-Süd",2020-09-04,2020
3982,"Ost-Süd",2020-09-05,2020
2518,"Ost-Süd",2020-09-06,2020
3837,"Ost-Süd",2020-09-07,2020
4419,"Ost-Süd",2020-09-08,2020
4555,"Ost-Süd",2020-09-09,2020
4627,"Ost-Süd",2020-09-10,2020
4435,"Ost-Süd",2020-09-11,2020
3937,"Ost-Süd",2020-09-12,2020
3162,"Ost-Süd",2020-09-13,2020
3814,"Ost-Süd",2020-09-14,2020
4411,"Ost-Süd",2020-09-15,2020
4524,"Ost-Süd",2020-09-16,2020
4851,"Ost-Süd",2020-09-17,2020
4634,"Ost-Süd",2020-09-18,2020
3984,"Ost-Süd",2020-09-19,2020
3576,"Ost-Süd",2020-09-20,2020
4219,"Ost-Süd",2020-09-21,2020
4498,"Ost-Süd",2020-09-22,2020
4216,"Ost-Süd",2020-09-23,2020
3764,"Ost-Süd",2020-09-24,2020
2997,"Ost-Süd",2020-09-25,2020
2201,"Ost-Süd",2020-09-26,2020
2822,"Ost-Süd",2020-09-27,2020
3764,"Ost-Süd",2020-09-28,2020
3367,"Ost-Süd",2020-09-29,2020
4233,"Ost-Süd",2020-09-30,2020
3740,"Ost-Süd",2020-10-01,2020
3703,"Ost-Süd",2020-10-02,2020
3202,"Ost-Süd",2020-10-03,2020
3140,"Ost-Süd",2020-10-04,2020
2982,"Ost-Süd",2020-10-05,2020
3181,"Ost-Süd",2020-10-06,2020
3167,"Ost-Süd",2020-10-07,2020
3561,"Ost-Süd",2020-10-08,2020
3368,"Ost-Süd",2020-10-09,2020
2477,"Ost-Süd",2020-10-10,2020
2272,"Ost-Süd",2020-10-11,2020
2983,"Ost-Süd",2020-10-12,2020
3265,"Ost-Süd",2020-10-13,2020
3628,"Ost-Süd",2020-10-14,2020
3101,"Ost-Süd",2020-10-15,2020
2676,"Ost-Süd",2020-10-16,2020
2812,"Ost-Süd",2020-10-17,2020
2527,"Ost-Süd",2020-10-18,2020
3541,"Ost-Süd",2020-10-19,2020
3689,"Ost-Süd",2020-10-20,2020
3774,"Ost-Süd",2020-10-21,2020
3724,"Ost-Süd",2020-10-22,2020
2598,"Ost-Süd",2020-10-23,2020
3648,"Ost-Süd",2020-10-24,2020
3138,"Ost-Süd",2020-10-25,2020
2387,"Ost-Süd",2020-10-26,2020
3571,"Ost-Süd",2020-10-27,2020
3267,"Ost-Süd",2020-10-28,2020
2801,"Ost-Süd",2020-10-29,2020
3774,"Ost-Süd",2020-10-30,2020
3188,"Ost-Süd",2020-10-31,2020
2233,"Ost-Süd",2020-11-01,2020
3704,"Ost-Süd",2020-11-02,2020
2902,"Ost-Süd",2020-11-03,2020
3034,"Ost-Süd",2020-11-04,2020
3469,"Ost-Süd",2020-11-05,2020
3530,"Ost-Süd",2020-11-06,2020
3211,"Ost-Süd",2020-11-07,2020
2534,"Ost-Süd",2020-11-08,2020
3457,"Ost-Süd",2020-11-09,2020
3517,"Ost-Süd",2020-11-10,2020
3626,"Ost-Süd",2020-11-11,2020
3924,"Ost-Süd",2020-11-12,2020
4128,"Ost-Süd",2020-11-13,2020
4209,"Ost-Süd",2020-11-14,2020
3294,"Ost-Süd",2020-11-15,2020
3275,"Ost-Süd",2020-11-16,2020
3813,"Ost-Süd",2020-11-17,2020
3757,"Ost-Süd",2020-11-18,2020
3329,"Ost-Süd",2020-11-19,2020
3399,"Ost-Süd",2020-11-20,2020
3642,"Ost-Süd",2020-11-21,2020
2603,"Ost-Süd",2020-11-22,2020
3350,"Ost-Süd",2020-11-23,2020
3425,"Ost-Süd",2020-11-24,2020
